"","City","AL","Airport","temperature.country","EIP","a_AL","lf","prop_Surv","species"
"1","Bangkok",2.7,"BKK","Thailand",5.34124890414251,0.472696711979005,32.9375,0.850302462476973,"AL"
"2","Beijing",1.97,"PEK","China",6.88962156122918,0.402710945416437,41.9375,0.84850179614224,"AL"
"3","Beirut",2.36,"BEY","Lebanon",5.97224817890936,0.446788098302163,39.2708333333333,0.858920880107384,"AL"
"4","Guangzhou",2.8,"CAN","China",5.94129745010824,0.448362036305676,39.125,0.85911348918898,"AL"
"5","Hong Kong",2.8,"HKG","Hong Kong",6.48065683329082,0.421517276892368,40.9583333333333,0.853657175880154,"AL"
"6","Kuala Lumpur",2.7,"KUL","Malaysia",5.89562652215815,0.4506818514389,38.8125,0.85907401183569,"AL"
"7","Manila",2.7,"MNL","Philippines",5.49395081392472,0.46951854905965,35.6666666666667,0.857241156234889,"AL"
"8","Mumbai",2.7,"BOM","India",6.03077017500591,0.339468071705233,12.5416666666667,0.618252238739932,"AL"
"9","New Delhi",2.7,"DEL","India",7.30858247050725,0.191069790014165,8.29166666666667,0.414187262779757,"AL"
"10","Seoul",1.97,"ICN","South Korea",7.13465572144635,0.392197578725689,42.3333333333333,0.844901543888011,"AL"
"11","Shanghai",1.97,"PVG","China",6.1432571775835,0.438121522413065,39.9791666666667,0.857562289768565,"AL"
"12","Singapore",2.7,"SIN","Singapore",6.03690702714917,0.443501640191106,39.5625,0.858480213373074,"AL"
"13","Tokyo",1.97,"NRT","Japan",6.79490463876464,0.406926724971292,41.7291666666667,0.849732690146169,"AL"
