"location_code","location_population","first_date_cases","last_date_cases","length_of_stay","num_cases_time_window"
"Angola",28813000,"2016-01-01","2016-12-31",3.4,12760
"Benin",10872000,"2016-01-01","2016-12-31",5.51,4360
"Burkina Faso",18646000,"2016-01-01","2016-12-31",6.6,12200
"Burundi",10524000,"2016-01-01","2016-12-31",15,2490
"Cameroon",23439000,"2016-01-01","2016-12-31",4.85,60320
"Central African Republic",4595000,"2016-01-01","2016-12-31",2.7,8350
"Chad",14453000,"2016-01-01","2016-12-31",7.5,13970
"Congo",5126000,"2016-01-01","2016-12-31",2.7,9110
"Ivory Coast (Cote d'Ivoire)",23696000,"2016-01-01","2016-12-31",3,32040
"Democratic Republic of the Congo",78736000,"2016-01-01","2016-12-31",6.26,429080
"Equatorial Guinea",1221000,"2016-01-01","2016-12-31",3.78,4640
"Eritrea",4955000,"2016-01-01","2016-12-31",8.4,750
"Ethiopia",102403000,"2016-01-01","2016-12-31",8.4,44860
"Gabon",1980000,"2016-01-01","2016-12-31",2.7,10660
"Gambia",2039000,"2016-01-01","2016-12-31",3.5,1780
"Ghana",28207000,"2016-01-01","2016-12-31",10.5,52170
"Guinea",12396000,"2016-01-01","2016-12-31",8.88,16250
"Guinea Bissau",1816000,"2016-01-01","2016-12-31",22,6620
"Kenya",48462000,"2016-01-01","2016-12-31",10.4,28240
"Liberia",4614000,"2016-01-01","2016-12-31",6.29,5370
"Mali",17995000,"2016-01-01","2016-12-31",6,6700
"Mauritania",4301000,"2016-01-01","2016-12-31",3.5,2820
"Niger",20673000,"2016-01-01","2016-12-31",8,6500
"Nigeria",185990000,"2016-01-01","2016-12-31",7,82480
"Rwanda",11918000,"2016-01-01","2016-12-31",3.2,2910
"Sao Tome and Principe",200000,"2016-01-01","2016-12-31",2.7,40
"Senegal",15412000,"2016-01-01","2016-12-31",3.5,9960
"Sierra Leone",7396000,"2016-01-01","2016-12-31",7,9100
"Somalia",14318000,"2016-01-01","2016-12-31",9.4,6430
"South Sudan",12231000,"2016-01-01","2016-12-31",6.27,25230
"Sudan",39579000,"2016-01-01","2016-12-31",7.17,7530
"Tanzania",55572000,"2016-01-01","2016-12-31",10,23850
"Togo",7606000,"2016-01-01","2016-12-31",2,2580
"Uganda",41488000,"2016-01-01","2016-12-31",5.5,31630
"Zambia",16591000,"2016-01-01","2016-12-31",4,4350
"Argentina",43847000,"2016-01-01","2016-12-31",10.05,1400
"Bolivia",10888000,"2016-01-01","2016-12-31",19,1360
"Brazil",207653000,"2016-01-01","2016-12-31",23.4,51980
"Colombia",48653000,"2016-01-01","2016-12-31",19,2540
"Ecuador",16385000,"2016-01-01","2016-12-31",8.5,1790
"French Guiana",244000,"2016-01-01","2016-12-31",2.6,230
"Guyana",773000,"2016-01-01","2016-12-31",23.18,370
"Panama",4034000,"2016-01-01","2016-12-31",8,1110
"Paraguay",6725000,"2016-01-01","2016-12-31",4.3,660
"Peru",31774000,"2016-01-01","2016-12-31",1.8,3980
"Suriname",558000,"2016-01-01","2016-12-31",15,390
"Trinidad and Tobago",1365000,"2016-01-01","2016-12-31",14,440
"Venezuela",31568000,"2016-01-01","2016-12-31",11.69,3280
"Afghanistan",NA,"","",NA,NA
"Bahrain",NA,"","",NA,NA
"Bangladesh",NA,"","",NA,NA
"Brunei Darussalam",NA,"","",NA,NA
"Cambodia",NA,"","",NA,NA
"China",NA,"","",NA,NA
"Cyprus",NA,"","",NA,NA
"Fiji",NA,"","",NA,NA
"Hong Kong",NA,"","",NA,NA
"India",NA,"","",NA,NA
"Indonesia",NA,"","",NA,NA
"Iran",NA,"","",NA,NA
"Iraq",NA,"","",NA,NA
"Japan",NA,"","",NA,NA
"Jordan",NA,"","",NA,NA
"Kazakhstan",NA,"","",NA,NA
"Kuwait",NA,"","",NA,NA
"Kyrgyzstan",NA,"","",NA,NA
"Laos",NA,"","",NA,NA
"Lebanon",NA,"","",NA,NA
"Macau",NA,"","",NA,NA
"Malaysia",NA,"","",NA,NA
"Maldives",NA,"","",NA,NA
"Marshall Islands",NA,"","",NA,NA
"Micronesia",NA,"","",NA,NA
"Mongolia",NA,"","",NA,NA
"Myanmar",NA,"","",NA,NA
"Nepal",NA,"","",NA,NA
"North Korea",NA,"","",NA,NA
"Oman",NA,"","",NA,NA
"Pakistan",NA,"","",NA,NA
"Palau",NA,"","",NA,NA
"Papua New Guinea",NA,"","",NA,NA
"Philippines",NA,"","",NA,NA
"Qatar",NA,"","",NA,NA
"Saudi Arabia",NA,"","",NA,NA
"Singapore",NA,"","",NA,NA
"Solomon Islands",NA,"","",NA,NA
"South Korea",NA,"","",NA,NA
"Sri Lanka",NA,"","",NA,NA
"Syria",NA,"","",NA,NA
"Taiwan",NA,"","",NA,NA
"Tajikistan",NA,"","",NA,NA
"Thailand",NA,"","",NA,NA
"Tonga",NA,"","",NA,NA
"Turkey",NA,"","",NA,NA
"Turkmenistan",NA,"","",NA,NA
"United Arab Emirates",NA,"","",NA,NA
"Uzbekistan",NA,"","",NA,NA
"Vanuatu",NA,"","",NA,NA
"Vietnam",NA,"","",NA,NA
"Western Samoa",NA,"","",NA,NA
"Yemen",NA,"","",NA,NA
