"","temperature.airport","temperature.country","a","lf","EIP","prop_Surv"
"1","BAH","Bahrain",0.639642212762476,49.3126346974053,7.83272566204278,0.853134462288882
"2","PEK","China",0.0813675558757924,1,1000,0
"3","CAN","China",0.436243909895634,45.4165563629392,28.3081688631103,0.5361718011446
"4","PVG","China",0.294048027958367,30.2522452689085,1000,4.40781301432994e-15
"5","HKG","Hong Kong",0.469273564603084,47.4893320754675,20.6094094449301,0.647925362427641
"6","AMD","India",0.607585762825098,50.3088191487038,9.01442215033679,0.835953952705963
"7","BOM","India",0.646814625667383,48.9701047000766,7.5989344341352,0.856265345265177
"8","DEL","India",0.566581623793762,50.5466309844131,10.9855741847715,0.804660010480145
"11","NRT","Japan",0.21676693163152,16.7557432503678,1000,1.20464310990292e-26
"13","KWI","Kuwait",0.62662958652867,49.8157390267428,8.28315890447717,0.846812531289737
"14","BEY","Lebanon",0.471565221915621,47.6141188945644,20.2188708677269,0.654005027757463
"15","KUL","Malaysia",0.647635992713535,48.9276885963089,7.57276037714698,0.856608288694484
"16","MCT","Oman",0.61170909157361,50.2247113731181,8.84796346501873,0.838477499473289
"18","MNL","Philippines",0.670821656441606,47.4200012270132,6.87788338942139,0.864986116682105
"19","DOH","Qatar",0.656612430503975,48.4183378243447,7.29414482240392,0.860150079620585
"20","JED","Qatar",0.656612430503975,48.4183378243447,7.29414482240392,0.860150079620585
"21","RUH","Saudi Arabia",0.54382261592183,50.2587764633609,12.414537412096,0.781131063137301
"22","DMM","Saudi Arabia",0.605470553447374,50.3473555173885,9.10171177143159,0.83462033321534
"23","MED","Saudi Arabia",0.635150031801449,49.502865177476,7.98420276025306,0.851047198333336
"24","SIN","Singapore",0.66075465408806,48.1531898230822,7.16987329821179,0.86165772163723
"25","ICN","South Korea",0.126558858226682,1,1000,0
"26","BKK","Thailand",0.670559574977934,47.4408076053991,6.8853186841301,0.864905576358609
"27","IST","Turkey",0.246666134229914,22.5264210164127,1000,5.25608190785874e-20
"28","AUH","United Arab Emirates",0.649318216380903,48.8386912626124,7.51952181944986,0.857300749563765
"29","DXB","United Arab Emirates",0.642108639106227,49.2003675251336,7.75124508886295,0.854238837553999
