,airport,country,adm0,Province,adm1,lon,lat,continent,surv_qual,logpop,temp_max,temp_min,temp_mean,precip_max,precip_min,precip_mean
1,BAH,Bahrain,BHR,Muharraq,BHR.3_1,50.64406405,26.24418868,Asia,0,5.326467474,38.42380952,14.16190476,26.29285714,17.19047619,0,6.015873016
2,PEK,China,CHN,Beijing,CHN.2_1,116.4106715,40.1849142,Asia,0,7.323001146,29.52840736,-12.5197399,8.504333733,196.3519408,3.533253301,46.50046352
3,CAN,China,CHN,Guangdong,CHN.6_1,113.4152731,23.33519983,Asia,0,8.047725531,31.83792881,8.332263043,20.08509593,276.3912361,32.16116089,140.8996964
4,PVG,China,CHN,Shanghai,CHN.24_1,121.4545606,31.19660491,Asia,0,7.394854966,31.23255294,0.773011765,16.00278235,162.3914118,40.98705882,87.02503922
5,HKG,Hong Kong,HKG,Islands,HKG.3_1,113.9659004,22.2510424,Asia,0,5.157329503,30.38092486,11.66647399,21.02369942,361.8554913,23.31791908,168.3694605
6,AMD,India,IND,Gujarat,IND.11_1,71.5884337,22.6903222,Asia,0,7.828557291,39.04193244,11.34030307,25.19111776,269.0429055,0.206657236,57.07354681
7,BOM,India,IND,Maharashtra,IND.20_1,76.10822143,19.44975928,Asia,0,8.098515721,39.33242053,13.77505408,26.5537373,381.566187,2.681826664,100.2252432
8,DEL,India,IND,NCT of Delhi,IND.25_1,77.10897953,28.64651897,Asia,0,7.262486107,40.54854418,7.224447791,23.88649598,214.7409639,3.238955823,49.96159639
9,MAA,India,IND,Tamil Nadu,IND.31_1,78.40167065,11.00747266,Asia,0,7.9081812,35.52582652,19.62647819,27.57615235,195.2356339,13.17020865,78.37777896
10,HYD,India,IND,Telangana,IND.32_1,79.05945705,17.79483995,Asia,0,7.595034435,40.5891876,15.28805685,27.93862222,243.6904299,2.420861981,78.43443934
11,NRT,Japan,JPN,Tokyo,JPN.41_1,139.4469212,35.7113435,Asia,0,7.129760871,29.71203922,-2.479529412,13.6162549,201.0058824,44.86470588,123.918366
12,AMM,Jordan,JOR,Amman,JOR.2_1,36.38414021,31.59044196,Asia,0,6.538697663,32.55386181,2.046168719,17.30001526,32.30090567,0,11.93883349
13,KWI,Kuwait,KWT,Al Farwaniyah,KWT.2_1,47.93881563,29.25901597,Asia,0,6.114996836,43.70204778,7.966552901,25.83430034,20.84982935,0,8.245733788
14,BEY,Lebanon,LBN,Beirut,LBN.3_1,35.50269637,33.8880762,Asia,0,5.337271817,31.73913043,10.43913043,21.08913043,192.826087,0.043478261,69.17028986
15,KUL,Malaysia,MYS,Selangor,MYS.15_1,101.498876,3.27079329,Asia,0,6.754506289,31.9883685,21.17968629,26.58402739,291.3551309,122.9451011,198.2649674
16,MCT,Oman,OMN,Muscat,OMN.11_1,58.70366541,23.22870197,Asia,0,6.111060514,36.22000365,14.4358787,25.32794118,30.54640117,1.014614541,10.18147911
17,KHI,Pakistan,PAK,Sind,PAK.8_1,68.78509665,26.01275638,Asia,0,7.690546777,41.3691033,7.734816031,24.55195966,66.08071468,2.176578466,14.67231532
18,MNL,Philippines,PHL,Metropolitan Manila,PHL.47_1,121.0325745,14.59873565,Asia,0,7.124014528,33.6922039,21.27196402,27.48208396,467.2998501,10.02548726,184.4738881
19,DOH,Qatar,QAT,Ad Dawhah,QAT.1_1,51.50553341,25.30828308,Asia,0,6.115587383,40.93874539,12.90369004,26.92121771,18.43173432,0,6.30196802
20,JED,Qatar,QAT,Ad Dawhah,QAT.1_1,51.50553341,25.30828308,Asia,0,6.115587383,40.93874539,12.90369004,26.92121771,18.43173432,0,6.30196802
21,RUH,Saudi Arabia,SAU,Al Madinah,SAU.5_1,39.51715021,24.88952571,Asia,0,6.340012204,38.52160188,7.869003865,23.19530287,16.5347561,0.015196192,6.57637268
22,DMM,Saudi Arabia,SAU,Ar Riyad,SAU.7_1,45.55003964,23.06852848,Asia,0,6.925679376,41.75344606,8.489355788,25.12140093,27.65729741,0.001134404,8.462367088
23,MED,Saudi Arabia,SAU,Ash Sharqiyah,SAU.8_1,50.15231974,22.91514235,Asia,0,6.688060138,40.748296,11.51679261,26.13254431,15.48248889,0.005780035,5.949771074
24,SIN,Singapore,SGP,East,SGP.2_1,103.9566478,1.34892329,Asia,0,6.006919812,31.54021739,22.62173913,27.08097826,312.7826087,149,194.6195652
25,ICN,South Korea,KOR,Incheon,KOR.11_1,126.4914997,37.54265933,Asia,0,6.477299733,29.08518182,-8.218727273,10.43322727,321.9454545,18.75636364,102.2876515
26,BKK,Thailand,THA,Bangkok Metropolis,THA.3_1,100.6244261,13.77183155,Asia,0,6.944703686,34.80563231,20.13714134,27.47138682,315.3533475,7.481402763,120.5071732
27,IST,Turkey,TUR,Istanbul,TUR.40_1,28.84721087,41.14895544,Asia,0,7.056929346,27.1281822,2.000447115,14.56431466,118.2232779,25.92091659,62.19426203
28,AUH,United Arab Emirates,ARE,Abu Dhabi,ARE.1_1,54.04466555,23.66198283,Asia,0,6.493879636,40.02415332,13.26853783,26.64634557,27.00933584,0.009628831,5.595704538
29,DXB,United Arab Emirates,ARE,Dubai,ARE.3_1,55.39722376,24.94265495,Asia,0,6.518419509,39.44747948,13.31623681,26.38185815,33.69656116,0.017389605,7.507620164
